appid,developer,publisher,platforms,categories,tags,price,ratings
10,Valve,Valve,windows;mac;linux,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action;FPS;Multiplayer,7.19,4.0
20,Valve,Valve,windows;mac;linux,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action;FPS;Multiplayer,3.99,2.0
30,Valve,Valve,windows;mac;linux,Multi-player;Valve Anti-Cheat enabled,FPS;World War II;Multiplayer,3.99,3.0
40,Valve,Valve,windows;mac;linux,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action;FPS;Multiplayer,3.99,2.0
50,Gearbox Software,Valve,windows;mac;linux,Single-player;Multi-player;Valve Anti-Cheat enabled,FPS;Action;Sci-fi,3.99,4.0
60,Valve,Valve,windows;mac;linux,Multi-player;Online Multi-Player;Valve Anti-Cheat enabled,Action;FPS;Multiplayer,3.99,2.0
70,Valve,Valve,windows;mac;linux,Single-player;Multi-player;Online Multi-Player;Steam Cloud;Valve Anti-Cheat enabled,FPS;Classic;Action,7.19,4.0
80,Valve,Valve,windows;mac;linux,Single-player;Multi-player;Valve Anti-Cheat enabled,Action;FPS;Multiplayer,7.19,3.0
130,Gearbox Software,Valve,windows;mac;linux,Single-player,FPS;Action;Sci-fi,3.99,3.0
220,Valve,Valve,windows;mac;linux,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Includes Source SDK,FPS;Action;Sci-fi,7.19,4.0
240,Valve,Valve,windows;mac;linux,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK,Action;FPS;Multiplayer,7.19,4.0
280,Valve,Valve,windows;mac;linux,Single-player,FPS;Action;Sci-fi,0.0,1.0
300,Valve,Valve,windows;mac;linux,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Valve Anti-Cheat enabled;Stats;Includes Source SDK,FPS;World War II;Multiplayer,7.19,3.0
320,Valve,Valve,windows;mac;linux,Multi-player;Valve Anti-Cheat enabled;Includes Source SDK,Action;FPS;Multiplayer,3.99,3.0
340,Valve,Valve,windows;mac;linux,Single-player;Commentary available,FPS;Action;Singleplayer,0.0,2.0
360,Valve,Valve,windows;mac;linux,Multi-player;Valve Anti-Cheat enabled,Action;FPS;Multiplayer,0.0,1.0
380,Valve,Valve,windows;mac;linux,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available,FPS;Action;Sci-fi,5.79,4.0
400,Valve,Valve,windows;mac;linux,Single-player;Steam Achievements;Captions available;Partial Controller Support;Includes level editor;Includes Source SDK;Commentary available,Puzzle;First-Person;Singleplayer,7.19,4.0
420,Valve,Valve,windows;mac;linux,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available,FPS;Action;Sci-fi,5.79,4.0
440,Valve,Valve,windows;mac;linux,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Partial Controller Support;Valve Anti-Cheat enabled;Stats;Includes level editor;Commentary available,Free to Play;Multiplayer;FPS,0.0,4.0
500,Valve,Valve,windows;mac,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Captions available;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards;Includes Source SDK;Commentary available,Zombies;Co-op;FPS,7.19,4.0
550,Valve,Valve,windows;mac;linux,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK;Commentary available,Zombies;Co-op;FPS,7.19,4.0
570,Valve,Valve,windows;mac;linux,Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled,Free to Play;MOBA;Strategy,0.0,3.0
620,Valve,Valve,windows;mac;linux,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Includes level editor;Commentary available,Puzzle;Co-op;First-Person,7.19,4.0
